                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.382,                 1.6801,                 1.7126,                0.67807,                  0.703,                0.71504,                0.38822,                 1.5419,                 1.2656,                 1.8736,              0.0033277,              0.0033277,              0.0033277
                      2,                 1.2769,                 1.3102,                 1.6095,                0.60729,                0.55905,                0.58507,                0.24743,                 1.9488,                 1.5421,                 2.2564,              0.0065951,              0.0065951,              0.0065951
                      3,                 1.3915,                 1.5253,                 1.7175,                0.50611,                0.47052,                0.47248,                0.19744,                 2.0178,                 1.9659,                 2.4355,              0.0097965,              0.0097965,              0.0097965
                      4,                 1.4524,                 1.6673,                  1.782,                 0.5421,                0.53504,                0.54427,                0.23541,                 1.8489,                  1.742,                 2.1752,               0.009703,               0.009703,               0.009703
                      5,                 1.4065,                 1.5882,                 1.7446,                0.64091,                0.67408,                0.66277,                0.29846,                 1.8075,                 1.3925,                  2.148,               0.009703,               0.009703,               0.009703
                      6,                  1.378,                 1.5304,                 1.7128,                0.65475,                0.63293,                0.67139,                0.30903,                  1.734,                  1.396,                 2.0967,               0.009604,               0.009604,               0.009604
                      7,                 1.3479,                 1.4795,                 1.6864,                0.69194,                0.68854,                0.72605,                0.34605,                 1.7329,                  1.326,                 2.0633,               0.009505,               0.009505,               0.009505
                      8,                 1.3114,                 1.4101,                 1.6553,                0.70889,                0.69342,                0.72869,                0.34536,                 1.7753,                 1.2667,                 2.1074,               0.009406,               0.009406,               0.009406
                      9,                 1.2919,                 1.3827,                  1.646,                0.74873,                0.73971,                0.79132,                0.40112,                 1.6315,                  1.136,                 1.9855,               0.009307,               0.009307,               0.009307
                     10,                 1.2638,                 1.3307,                 1.6128,                0.73125,                0.73304,                0.75457,                0.36528,                  1.722,                 1.1534,                 2.0417,               0.009208,               0.009208,               0.009208
                     11,                 1.2535,                 1.2938,                 1.6069,                0.73859,                0.75528,                0.79544,                0.41316,                   1.62,                 1.1146,                 1.9158,               0.009109,               0.009109,               0.009109
                     12,                 1.2274,                 1.2549,                 1.5883,                0.77765,                0.74416,                 0.8083,                 0.4379,                 1.5301,                 1.0537,                 1.8516,                0.00901,                0.00901,                0.00901
                     13,                 1.2091,                 1.2269,                  1.565,                0.75511,                0.75306,                0.80892,                 0.4073,                 1.6429,                 1.0882,                 1.9434,               0.008911,               0.008911,               0.008911
                     14,                 1.1918,                 1.2051,                 1.5535,                0.76437,                0.75775,                0.81367,                0.44635,                 1.4806,                   1.04,                 1.8054,               0.008812,               0.008812,               0.008812
                     15,                 1.1769,                  1.164,                 1.5376,                0.77313,                0.76863,                0.81758,                 0.4283,                 1.5827,                 1.0145,                 1.9163,               0.008713,               0.008713,               0.008713
                     16,                 1.1632,                 1.1556,                 1.5366,                0.76542,                0.80534,                0.84403,                0.47619,                 1.4544,                0.94478,                 1.7643,               0.008614,               0.008614,               0.008614
                     17,                 1.1533,                 1.1361,                 1.5137,                0.81419,                0.77985,                0.84846,                0.47467,                 1.4776,                0.95472,                  1.799,               0.008515,               0.008515,               0.008515
                     18,                 1.1373,                 1.1053,                 1.5011,                0.80402,                0.76664,                0.84664,                0.45916,                  1.574,                0.97431,                 1.8595,               0.008416,               0.008416,               0.008416
                     19,                 1.1243,                 1.0886,                 1.4932,                0.79487,                 0.8198,                0.86002,                0.47594,                 1.5042,                0.89233,                 1.7977,               0.008317,               0.008317,               0.008317
                     20,                 1.1171,                 1.0775,                 1.4845,                0.81222,                0.81793,                0.86103,                0.49357,                  1.456,                0.90935,                 1.7677,               0.008218,               0.008218,               0.008218
                     21,                 1.1078,                 1.0534,                 1.4808,                0.81474,                0.81207,                0.86537,                0.49345,                 1.4604,                0.88873,                 1.7884,               0.008119,               0.008119,               0.008119
                     22,                 1.0916,                 1.0388,                  1.461,                0.81411,                0.81352,                0.86312,                 0.4656,                 1.5394,                0.90912,                 1.8584,                0.00802,                0.00802,                0.00802
                     23,                 1.0865,                 1.0253,                 1.4562,                0.83861,                0.79755,                0.86459,                0.49158,                 1.4542,                0.87802,                 1.7587,               0.007921,               0.007921,               0.007921
                     24,                 1.0784,                  1.002,                 1.4451,                0.81523,                0.83922,                0.87276,                 0.5018,                 1.4184,                0.84963,                 1.7575,               0.007822,               0.007822,               0.007822
                     25,                 1.0701,                0.99172,                 1.4407,                0.79991,                0.80934,                0.86127,                0.49013,                 1.4853,                0.87212,                 1.7795,               0.007723,               0.007723,               0.007723
                     26,                 1.0534,                0.97932,                 1.4297,                0.81358,                0.82527,                0.85988,                 0.4956,                 1.4496,                0.86308,                 1.7636,               0.007624,               0.007624,               0.007624
                     27,                 1.0429,                0.95924,                 1.4178,                 0.8285,                0.78865,                0.86979,                 0.5152,                 1.4133,                0.85242,                 1.7288,               0.007525,               0.007525,               0.007525
                     28,                 1.0365,                0.93967,                 1.4154,                0.82418,                0.82388,                0.87849,                0.51065,                 1.4195,                0.84013,                 1.7365,               0.007426,               0.007426,               0.007426
                     29,                 1.0346,                0.94128,                 1.4098,                0.83202,                0.81544,                 0.8717,                0.50699,                 1.4603,                0.81687,                 1.7525,               0.007327,               0.007327,               0.007327
                     30,                 1.0207,                0.91738,                 1.3996,                 0.8633,                0.84205,                0.89672,                0.54343,                 1.3875,                0.77678,                 1.6953,               0.007228,               0.007228,               0.007228
                     31,                 1.0133,                0.90853,                 1.3935,                0.82931,                0.82687,                0.86736,                0.50756,                  1.467,                 0.8182,                  1.785,               0.007129,               0.007129,               0.007129
                     32,                 1.0053,                0.90346,                 1.3868,                0.83523,                0.82314,                0.88476,                0.54173,                 1.3661,                0.77403,                 1.6944,                0.00703,                0.00703,                0.00703
                     33,                0.99314,                0.88355,                 1.3739,                0.85286,                0.81883,                0.88976,                0.54019,                 1.3843,                  0.788,                 1.6986,               0.006931,               0.006931,               0.006931
                     34,                0.98914,                0.88475,                 1.3715,                0.82603,                 0.8376,                0.89031,                0.55351,                 1.3396,                0.76921,                 1.6679,               0.006832,               0.006832,               0.006832
                     35,                0.98938,                0.87555,                 1.3714,                0.85069,                0.84292,                0.89325,                0.54695,                 1.3684,                0.74462,                 1.7084,               0.006733,               0.006733,               0.006733
                     36,                0.96695,                0.85654,                 1.3569,                0.87158,                0.80777,                0.89061,                0.55011,                 1.3291,                0.75452,                 1.6717,               0.006634,               0.006634,               0.006634
                     37,                0.96974,                0.85326,                 1.3531,                 0.8753,                0.83546,                0.89819,                 0.5465,                 1.3627,                 0.7463,                 1.6776,               0.006535,               0.006535,               0.006535
                     38,                0.95467,                0.83164,                 1.3447,                0.84197,                0.84751,                0.88661,                0.54422,                 1.3915,                0.75224,                 1.7191,               0.006436,               0.006436,               0.006436
                     39,                0.95575,                0.82337,                 1.3395,                0.83512,                0.84872,                0.89439,                0.53903,                 1.4009,                0.75785,                 1.7306,               0.006337,               0.006337,               0.006337
                     40,                0.94429,                0.82218,                 1.3347,                0.84239,                0.82091,                0.88018,                0.54738,                 1.3491,                 0.7571,                 1.6874,               0.006238,               0.006238,               0.006238
                     41,                0.93892,                0.81131,                 1.3338,                0.85606,                0.82034,                 0.8895,                0.54302,                 1.3837,                0.73841,                   1.72,               0.006139,               0.006139,               0.006139
                     42,                0.93123,                0.79561,                 1.3218,                0.84869,                0.84316,                0.88054,                0.54747,                 1.3537,                0.73646,                 1.6823,                0.00604,                0.00604,                0.00604
                     43,                0.92656,                0.78962,                 1.3182,                0.83764,                0.83315,                0.88306,                0.56329,                 1.3221,                0.73982,                 1.6556,               0.005941,               0.005941,               0.005941
                     44,                0.91274,                0.77594,                 1.3142,                0.83352,                0.84761,                0.89622,                0.56647,                 1.3254,                0.73053,                 1.6669,               0.005842,               0.005842,               0.005842
                     45,                0.91256,                0.77742,                 1.3127,                0.86041,                0.84872,                0.89061,                0.56747,                 1.3005,                0.71321,                 1.6393,               0.005743,               0.005743,               0.005743
                     46,                0.89726,                0.76093,                 1.2991,                0.86064,                0.83119,                0.89119,                0.55605,                 1.3501,                0.72854,                 1.7119,               0.005644,               0.005644,               0.005644
                     47,                0.89463,                0.76204,                 1.2999,                0.85364,                0.84986,                0.88516,                 0.5613,                 1.3153,                0.71206,                 1.6793,               0.005545,               0.005545,               0.005545
                     48,                 0.8879,                0.75062,                 1.2947,                0.86091,                0.83426,                0.89058,                0.56684,                 1.2924,                0.71396,                 1.6509,               0.005446,               0.005446,               0.005446
                     49,                0.88009,                0.74658,                  1.289,                0.85674,                 0.8376,                0.89433,                0.56446,                 1.3276,                0.70855,                 1.6888,               0.005347,               0.005347,               0.005347
                     50,                0.87776,                0.73542,                 1.2881,                0.85835,                0.82647,                0.88561,                0.57594,                 1.2911,                0.70273,                 1.6552,               0.005248,               0.005248,               0.005248
                     51,                0.87471,                0.74247,                 1.2869,                0.85152,                0.84093,                0.88401,                0.56243,                 1.3103,                0.71946,                 1.6745,               0.005149,               0.005149,               0.005149
                     52,                0.86401,                0.72379,                 1.2782,                0.84398,                0.83537,                 0.8874,                0.56581,                 1.3195,                 0.7291,                 1.6805,                0.00505,                0.00505,                0.00505
                     53,                0.85831,                 0.7157,                   1.27,                0.83236,                0.86652,                0.88926,                0.56881,                 1.2969,                0.71385,                 1.6515,               0.004951,               0.004951,               0.004951
                     54,                0.85108,                0.70961,                 1.2637,                0.84567,                0.85335,                0.89735,                0.57396,                 1.3143,                 0.7005,                 1.6798,               0.004852,               0.004852,               0.004852
                     55,                0.84363,                0.70483,                 1.2577,                0.83625,                0.84538,                0.89511,                0.57093,                 1.3268,                0.71093,                  1.681,               0.004753,               0.004753,               0.004753
